"123" "231" "312"
"227" -8.57142857142857 -10 -8.57142857142857
"228" -8.57142857142857 -10 -7.14285714285714
"229" -8.57142857142857 -10 -5.71428571428571
"230" -8.57142857142857 -10 -4.28571428571429
"231" -8.57142857142857 -10 -2.85714285714286
"232" -8.57142857142857 -10 -1.42857142857143
"233" -8.57142857142857 -10 0
"234" -8.57142857142857 -10 1.42857142857143
"235" -8.57142857142857 -10 2.85714285714286
"236" -8.57142857142857 -10 4.28571428571429
"237" -8.57142857142857 -10 5.71428571428572
"238" -8.57142857142857 -10 7.14285714285714
"239" -8.57142857142857 -10 8.57142857142857
"240" -8.57142857142857 -10 10
"241" -8.57142857142857 -8.57142857142857 -10
"242" -8.57142857142857 -8.57142857142857 -8.57142857142857
"243" -8.57142857142857 -8.57142857142857 -7.14285714285714
"244" -8.57142857142857 -8.57142857142857 -5.71428571428571
"245" -8.57142857142857 -8.57142857142857 -4.28571428571429
"246" -8.57142857142857 -8.57142857142857 -2.85714285714286
"247" -8.57142857142857 -8.57142857142857 -1.42857142857143
"248" -8.57142857142857 -8.57142857142857 0
"249" -8.57142857142857 -8.57142857142857 1.42857142857143
"250" -8.57142857142857 -8.57142857142857 2.85714285714286
"251" -8.57142857142857 -8.57142857142857 4.28571428571429
"252" -8.57142857142857 -8.57142857142857 5.71428571428572
"253" -8.57142857142857 -8.57142857142857 7.14285714285714
"254" -8.57142857142857 -8.57142857142857 8.57142857142857
"255" -8.57142857142857 -8.57142857142857 10
"256" -8.57142857142857 -7.14285714285714 -10
"257" -8.57142857142857 -7.14285714285714 -8.57142857142857
"258" -8.57142857142857 -7.14285714285714 -7.14285714285714
"259" -8.57142857142857 -7.14285714285714 -5.71428571428571
"260" -8.57142857142857 -7.14285714285714 -4.28571428571429
"261" -8.57142857142857 -7.14285714285714 -2.85714285714286
"262" -8.57142857142857 -7.14285714285714 -1.42857142857143
"263" -8.57142857142857 -7.14285714285714 0
"264" -8.57142857142857 -7.14285714285714 1.42857142857143
"265" -8.57142857142857 -7.14285714285714 2.85714285714286
"266" -8.57142857142857 -7.14285714285714 4.28571428571429
"267" -8.57142857142857 -7.14285714285714 5.71428571428572
"268" -8.57142857142857 -7.14285714285714 7.14285714285714
"269" -8.57142857142857 -7.14285714285714 8.57142857142857
"270" -8.57142857142857 -7.14285714285714 10
"271" -8.57142857142857 -5.71428571428571 -10
"272" -8.57142857142857 -5.71428571428571 -8.57142857142857
"273" -8.57142857142857 -5.71428571428571 -7.14285714285714
"274" -8.57142857142857 -5.71428571428571 -5.71428571428571
"275" -8.57142857142857 -5.71428571428571 -4.28571428571429
"276" -8.57142857142857 -5.71428571428571 -2.85714285714286
"277" -8.57142857142857 -5.71428571428571 -1.42857142857143
"278" -8.57142857142857 -5.71428571428571 0
"279" -8.57142857142857 -5.71428571428571 1.42857142857143
"280" -8.57142857142857 -5.71428571428571 2.85714285714286
"281" -8.57142857142857 -5.71428571428571 4.28571428571429
"282" -8.57142857142857 -5.71428571428571 5.71428571428572
"283" -8.57142857142857 -5.71428571428571 7.14285714285714
"284" -8.57142857142857 -5.71428571428571 8.57142857142857
"285" -8.57142857142857 -5.71428571428571 10
